t,Ekin,Epot,Etot
0.0223333,2.73847e-05,2.7384e-05,5.47687e-05
0.0225,2.78356e-05,2.78351e-05,5.56706e-05
0.0226667,2.82879e-05,2.82882e-05,5.65761e-05
0.0228333,2.87417e-05,2.87425e-05,5.74842e-05
0.023,2.91967e-05,2.91974e-05,5.83942e-05
0.0231667,2.9653e-05,2.96531e-05,5.93061e-05
0.0233333,3.01104e-05,3.011e-05,6.02204e-05
0.0235,3.05688e-05,3.05686e-05,6.11374e-05
0.0236667,3.1028e-05,3.10287e-05,6.20567e-05
0.0238333,3.14881e-05,3.14893e-05,6.29775e-05
0.024,3.19489e-05,3.195e-05,6.3899e-05
0.0241667,3.24104e-05,3.24108e-05,6.48212e-05
0.0243333,3.28723e-05,3.28723e-05,6.57446e-05
0.0245,3.33346e-05,3.33349e-05,6.66695e-05
0.0246667,3.37972e-05,3.37982e-05,6.75955e-05
0.0248333,3.42601e-05,3.42616e-05,6.85217e-05
0.025,3.4723e-05,3.47245e-05,6.94475e-05
0.0251667,3.5186e-05,3.51868e-05,7.03728e-05
0.0253333,3.56488e-05,3.56492e-05,7.1298e-05
0.0255,3.61114e-05,3.61121e-05,7.22235e-05
0.0256667,3.65738e-05,3.65751e-05,7.31489e-05
0.0258333,3.70357e-05,3.70376e-05,7.40733e-05
0.026,3.74971e-05,3.74989e-05,7.4996e-05
0.0261667,3.79579e-05,3.79591e-05,7.5917e-05
0.0263333,3.8418e-05,3.84188e-05,7.68368e-05
0.0265,3.88773e-05,3.88784e-05,7.77557e-05
0.0266667,3.93357e-05,3.93374e-05,7.86731e-05
0.0268333,3.97931e-05,3.97953e-05,7.95884e-05
0.027,4.02493e-05,4.02515e-05,8.05009e-05
0.0271667,4.07044e-05,4.0706e-05,8.14104e-05
0.0273333,4.11582e-05,4.11594e-05,8.23176e-05
0.0275,4.16105e-05,4.1612e-05,8.32225e-05
0.0276667,4.20614e-05,4.20635e-05,8.41249e-05
0.0278333,4.25107e-05,4.25133e-05,8.5024e-05
0.028,4.29583e-05,4.29608e-05,8.5919e-05
