x,y,T
4,2.2,585.583
4.2,2.2,586.089
4.4,2.2,586.625
4.6,2.2,587.191
4.8,2.2,587.789
5,2.2,588.419
5.2,2.2,589.084
5.4,2.2,589.785
5.6,2.2,590.524
5.8,2.2,591.303
6,2.2,592.125
6.2,2.2,592.992
6.4,2.2,593.91
6.6,2.2,594.882
6.8,2.2,595.914
7,2.2,597.014
7.2,2.2,598.19
7.4,2.2,599.457
7.6,2.2,600.832
7.8,2.2,602.347
8,2.2,604.055
8.2,2.2,605.245
8.4,2.2,605.962
8.6,2.2,606.223
8.8,2.2,606.015
9,2.2,605.295
9.2,2.2,604.781
9.4,2.2,604.423
9.6,2.2,604.195
9.8,2.2,604.083
10,2.2,604.083

0,2.4,580.859
0.2,2.4,580.859
0.4,2.4,580.886
0.6,2.4,580.936
0.8,2.4,581.01
1,2.4,581.107
1.2,2.4,581.227
1.4,2.4,581.371
1.6,2.4,581.539
1.8,2.4,581.731
2,2.4,581.946
2.2,2.4,582.186
2.4,2.4,582.45
2.6,2.4,582.739
2.8,2.4,583.053
3,2.4,583.393
3.2,2.4,583.758
3.4,2.4,584.149
3.6,2.4,584.568
3.8,2.4,585.014
4,2.4,585.488
4.2,2.4,585.992
4.4,2.4,586.525
4.6,2.4,587.089
4.8,2.4,587.685
5,2.4,588.315
5.2,2.4,588.98
5.4,2.4,589.683
5.6,2.4,590.425
5.8,2.4,591.209
6,2.4,592.039
6.2,2.4,592.918
6.4,2.4,593.852
6.6,2.4,594.847
6.8,2.4,595.909
7,2.4,597.049
7.2,2.4,598.278
7.4,2.4,599.614
7.6,2.4,601.076
7.8,2.4,602.697
8,2.4,604.516
8.2,2.4,605.783
8.4,2.4,606.53
8.6,2.4,606.77
8.8,2.4,606.494
9,2.4,605.675
9.2,2.4,605.069
9.4,2.4,604.641
9.6,2.4,604.367
9.8,2.4,604.233
10,2.4,604.233

0,2.6,580.794
0.2,2.6,580.794
0.4,2.6,580.821
0.6,2.6,580.871
0.8,2.6,580.944
1,2.6,581.04
1.2,2.6,581.159
1.4,2.6,581.302
1.6,2.6,581.468
1.8,2.6,581.658
2,2.6,581.871
2.2,2.6,582.109
2.4,2.6,582.37
2.6,2.6,582.656
2.8,2.6,582.968
3,2.6,583.304
3.2,2.6,583.666
3.4,2.6,584.054
3.6,2.6,584.469
3.8,2.6,584.912
4,2.6,585.382
4.2,2.6,585.882
4.4,2.6,586.412
4.6,2.6,586.973
4.8,2.6,587.566
5,2.6,588.194
5.2,2.6,588.857
5.4,2.6,589.559
5.6,2.6,590.301
5.8,2.6,591.088
6,2.6,591.922
6.2,2.6,592.808
6.4,2.6,593.753
6.6,2.6,594.762
6.8,2.6,595.845
7,2.6,597.013
7.2,2.6,598.279
7.4,2.6,599.661
7.6,2.6,601.181
7.8,2.6,602.866
8,2.6,604.749
8.2,2.6,606.06
8.4,2.6,606.824
8.6,2.6,607.051
8.8,2.6,606.735
9,2.6,605.859
9.2,2.6,605.197
9.4,2.6,604.723
9.6,2.6,604.417
9.8,2.6,604.268
10,2.6,604.268

0,2.8,580.725
0.2,2.8,580.725
0.4,2.8,580.751
0.6,2.8,580.8
0.8,2.8,580.873
1,2.8,580.968
1.2,2.8,581.086
1.4,2.8,581.227
1.6,2.8,581.392
1.8,2.8,581.579
2,2.8,581.79
2.2,2.8,582.025
2.4,2.8,582.284
2.6,2.8,582.567
2.8,2.8,582.875
3,2.8,583.208
3.2,2.8,583.566
3.4,2.8,583.95
3.6,2.8,584.361
3.8,2.8,584.799
4,2.8,585.265
4.2,2.8,585.761
4.4,2.8,586.286
4.6,2.8,586.842
4.8,2.8,587.431
5,2.8,588.055
5.2,2.8,588.714
5.4,2.8,589.412
5.6,2.8,590.152
5.8,2.8,590.937
6,2.8,591.77
6.2,2.8,592.658
6.4,2.8,593.606
6.6,2.8,594.621
6.8,2.8,595.714
7,2.8,596.896
7.2,2.8,598.182
7.4,2.8,599.589
7.6,2.8,601.139
7.8,2.8,602.857
8,2.8,604.77
8.2,2.8,606.103
8.4,2.8,606.874
8.6,2.8,607.092
8.8,2.8,606.754
9,2.8,605.848
9.2,2.8,605.154
9.4,2.8,604.654
9.6,2.8,604.33
9.8,2.8,604.171
10,2.8,604.171

0,3,580.651
0.2,3,580.651
0.4,3,580.677
0.6,3,580.726
0.8,3,580.797
1,3,580.891
1.2,3,581.008
1.4,3,581.147
1.6,3,581.31
1.8,3,581.495
2,3,581.704
2.2,3,581.936
2.4,3,582.192
2.6,3,582.471
2.8,3,582.775
3,3,583.104
3.2,3,583.458
3.4,3,583.838
3.6,3,584.244
3.8,3,584.677
4,3,585.138
4.2,3,585.627
4.4,3,586.147
4.6,3,586.697
4.8,3,587.28
5,3,587.897
5.2,3,588.55
5.4,3,589.243
5.6,3,589.976
5.8,3,590.755
6,3,591.583
6.2,3,592.466
6.4,3,593.409
6.6,3,594.422
6.8,3,595.513
7,3,596.694
7.2,3,597.981
7.4,3,599.391
7.6,3,600.947
7.8,3,602.671
8,3,604.589
8.2,3,605.925
8.4,3,606.695
8.6,3,606.907
8.8,3,606.56
9,3,605.642
9.2,3,604.937
9.4,3,604.426
9.6,3,604.096
9.8,3,603.933
10,3,603.933

0,3.2,580.573
0.2,3.2,580.573
0.4,3.2,580.599
0.6,3.2,580.647
0.8,3.2,580.717
1,3.2,580.81
1.2,3.2,580.925
1.4,3.2,581.063
1.6,3.2,581.223
1.8,3.2,581.406
2,3.2,581.612
2.2,3.2,581.841
2.4,3.2,582.093
2.6,3.2,582.369
2.8,3.2,582.669
3,3.2,582.994
3.2,3.2,583.343
3.4,3.2,583.717
3.6,3.2,584.118
3.8,3.2,584.545
4,3.2,584.999
4.2,3.2,585.482
4.4,3.2,585.995
4.6,3.2,586.538
4.8,3.2,587.113
5,3.2,587.722
5.2,3.2,588.366
5.4,3.2,589.049
5.6,3.2,589.773
5.8,3.2,590.542
6,3.2,591.359
6.2,3.2,592.231
6.4,3.2,593.162
6.6,3.2,594.162
6.8,3.2,595.239
7,3.2,596.405
7.2,3.2,597.675
7.4,3.2,599.067
7.6,3.2,600.604
7.8,3.2,602.308
8,3.2,604.209
8.2,3.2,605.53
8.4,3.2,606.291
8.6,3.2,606.5
8.8,3.2,606.154
9,3.2,605.241
9.2,3.2,604.542
9.4,3.2,604.038
9.6,3.2,603.711
9.8,3.2,603.551
10,3.2,603.551

0,3.4,580.491
0.2,3.4,580.491
0.4,3.4,580.516
0.6,3.4,580.564
0.8,3.4,580.633
1,3.4,580.725
1.2,3.4,580.839
1.4,3.4,580.974
1.6,3.4,581.132
1.8,3.4,581.313
2,3.4,581.515
2.2,3.4,581.741
2.4,3.4,581.99
2.6,3.4,582.261
2.8,3.4,582.557
3,3.4,582.876
3.2,3.4,583.22
3.4,3.4,583.589
